fund_name,levene_pvalue,is_homoscedastic,box_cox_lambda,transformation_applied
Sphera Fund,0.03721845342214158,False,0.7764969521817962,True
Sphera Global Healthcare Fund Class A,0.652789765772618,True,,False
Spinnaker Global Emerging Markets Fund Ltd. Class K,0.3316875184037672,True,,False
Spinnaker Global Opportunity Fund Ltd. Class L,0.7902125462277451,True,,False
Spitfire Fund LP,0.8138411700343309,True,,False
SSI Hedged Convertible Income Strategy,0.8983680036738888,True,,False
"SSI Hedged Convertible Opportunity Fund, LP",0.6733572453308161,True,,False
Stonepine Capital LP,0.8925915538629098,True,,False
Stornoway Recovery Fund LP,0.05266606202869203,True,,False
"Strategic Balance Partners, LP",0.7880041420289222,True,,False
Strategic China Panda Fund,0.2603629549825204,True,,False
"Strategos Fund, L.P.",0.5771337867066987,True,,False
"Strategos Offshore, Ltd.",0.5988944097368563,True,,False
Strateji Long Only Equity Fund,0.012496873215182797,False,0.7625924505473328,True
Strateji Long/Short Equity Fund,0.7740525017307461,True,,False
Stratus Feeder LLC - Series 1 (USD Standard Leverage),0.06737250708103246,True,,False
Stratus Feeder Ltd - Class B Shares (USD Standard Leverage),0.08030131218484513,True,,False
Stratus Fund Ltd - Class B Shares (USD Standard Leverage),0.09268359867089589,True,,False
Stratus Fund Ltd - Class C Shares (USD 1.5x Leverage),0.38759872617746305,True,,False
Stratus Fund Ltd - Class D Shares (Euro Standard Leverage),0.08361391980253771,True,,False
Stratus Fund Ltd. - Class E Shares (Euro 1.5X Leverage),0.00032956300842890943,False,0.8232724322925812,True
STS Master Fund Ltd. - Class I,0.010101564590773352,False,0.8770041191955514,True
Sturgeon Central Asia Balanced Fund,0.056092993629495,True,,False
Superfund Blue SPC Class A (EUR),0.11280563843865078,True,,False
Superfund Blue SPC Class A (Gold EUR),0.15507237833217624,True,,False
SVM Highlander Fund Plc EUR,0.8781440005333142,True,,False
Swan Defined Risk Strategy SMA,0.19216191510152178,True,,False
Swift Run Capital LP,0.5081449675640268,True,,False
SWMC Small Cap European Fund,0.5236888518404426,True,,False
Sycomore L/S Market Neutral Class I EUR,0.9045925163290501,True,,False
Sycomore L/S Opportunities Class I EUR,0.03817393873218234,False,0.6643148391890884,True
"Symphony Bravura 99 Fund, L.P.",0.1801568208758702,True,,False
"Symphony Rhapsody Fund, L.P.",0.026659361008108794,False,0.7163401130715878,True
SYW L.P.,0.18998682621400967,True,,False
Taiga Fund A EUR,0.1155568942736089,True,,False
Tallgrass Capital L.P. (D),0.1503256842977785,True,,False
"Tamarack Global Healthcare Fund, LP",0.11950551818465074,True,,False
Tantallon (Non-US Feeder) Fund,0.25593305956245177,True,,False
TCM Vietnam High Dividend Equity Fund,0.02458578760005973,False,0.6573484614578273,True
"TCW Sepulveda Long/Short Equity Fund I, LP",0.0028053850536797053,False,0.6516850866068479,True
"TCW Sepulveda Long/Short Equity Fund II, LP",0.00309212831872928,False,0.648414656336257,True
Teak Hill Fund ,0.4313073563227252,True,,False
"Telemetry Fund I, L.P.",2.3144666891863256e-05,False,0.7948379863468091,True
"Telligent Greater China Master Fund, LP",0.4181169995175903,True,,False
Thai Focused Equity Fund Class A,0.059770659022101644,True,,False
Thai Focused Equity Fund Class C,0.0598792004261021,True,,False
Thai Focused Equity Fund Class D,0.059911720910649745,True,,False
The Cushing Fund,0.00014656775816188178,False,0.8697050718345274,True
The Elbrus Fund Limited Class A USD,0.14660952724023885,True,,False
The Prospect Fund L.P.,0.1158830083898745,True,,False
"The Rama Fund, LLC",0.02373037574122138,False,0.5621306899927873,True
"The Red Oak Fund, L.P.",0.0007910918424166342,False,0.6119104074945074,True
"The Red Oak Long Fund, L.P.",0.000515266399695733,False,0.667036513215214,True
Third Friday Total Return Fund,0.42179290690795335,True,,False
Tiburon Taipan Fund A USD,0.3072452017220521,True,,False
TIG Arbitrage Associates L.P./Ltd.,0.911790622741928,True,,False
"Tonga Partners, L.P.",0.4005239867232897,True,,False
Tordesillas L/S Iberian Equities,0.07339786420279261,True,,False
Tosca Master,0.4620452506663455,True,,False
Tosca Opportunity,0.0009858492739864694,False,0.776856806285397,True
Touchstone Dynamic Equity Fund A,0.031563555268734195,False,0.6719069683294473,True
TradeLink Master Fund LP,0.03149902474465769,False,0.7122021619622532,True
"TRF Master Fund (Cayman), L.P.",0.43540637102887536,True,,False
"Trilogy Financial Partners International, Ltd.",0.51987412753652,True,,False
Trilogy Financial Partners LP,0.39047424787384355,True,,False
"Tristan Offshore Fund, Ltd",0.17401793639441868,True,,False
"Tristan Partners, LP",0.8760520056138267,True,,False
TT International Fund Ltd Class A,0.7822719103149847,True,,False
TT International Mid-Cap Europe Fund-EUR Class A,0.4030478517411965,True,,False
TT International Mid-Cap Europe Fund-USD Class B,0.38367759888567343,True,,False
"Twin Offshore, Ltd.",0.009834035441170896,False,1.199649326204216,True
"Twin Securities, L.P.",0.009824353097421504,False,1.1977870984112244,True
UBS (Lux) Equity Fund - Australia (AUD) P-acc,0.3790891064133316,True,,False
UBS (Lux) Equity Fund - Canada (CAD) P-acc,0.22101135894286136,True,,False
UBS (Lux) Equity SICAV - Brazil (USD) P-acc,0.1055021198290141,True,,False
UBS (Lux) Equity SICAV - Greater China (USD) P-acc,0.8202954040169635,True,,False
UFG Russia Select Fund,0.3011950597635865,True,,False
UG Greater China Multi-Strategy Fund,3.465006030720241e-06,False,0.6463692072258262,True
UG Hidden Dragon Special Opportunity Fund,0.00012313605001026541,False,0.6845679875847395,True
UMJ Kotoshiro Fund JPY,0.24930989058631195,True,,False
UMJ Kotoshiro Fund USD,0.2874428077084643,True,,False
V2M Life Sciences LP,0.2796322632072729,True,,False
Valley Forge Capital LP,0.7017449138104865,True,,False
Value Partners Classic Fund Class A,0.743877042096316,True,,False
Value Partners High-Dividend Stocks Fund,0.9644926024985034,True,,False
Value Partners Taiwan Fund,0.10207206697928807,True,,False
ValueWorks Limited Partnership,0.7467544464252234,True,,False
ValueWorks Long-Biased Strategy,0.27473764863287864,True,,False
Van Hulzen Covered Call Strategy (SMA),0.06679918785088013,True,,False
Velocity American Energy Fund L.P.,0.0021225654013886297,False,0.744715823216673,True
"Velocity American Energy Master Fund I, LP",0.01698315456959589,False,0.5879959293664188,True
Velocity American Energy Offshore Fund,0.006397936653678438,False,0.6876614198601384,True
Venator Founders Fund Class A,0.27826198231526494,True,,False
Venator Income Fund Class F,0.7133993185558876,True,,False
Venor Capital Offshore Ltd.,0.10417462180925047,True,,False
Venor Capital Partners LP,0.11825051651031616,True,,False
